Boston, New York, USA	42.6289858 -78.7376213
San Marcos de Leon, Veracruz, Mexico	19.4225756 -96.9647483
Polonnaruwa, North Central Province, Sri Lanka	7.9395357 81.0003387
Grove City, Ohio, USA	39.8814519 -83.0929645
Warm Springs, Montana, USA	46.1813145 -112.78476
Gretna, Scotland, UK	54.9953097 -3.0669404
Carvers Creek, North Carolina, USA	34.460619 -78.374082
Quay County, New Mexico, USA	35.1439219 -103.4183431
Moreton Island, Queensland, Australia	-27.19264975 153.39431796425487
Zhabei, Shanghai, China	31.269314 121.4443931
Palace of the Parliament, Bucharest, Romania	44.42751025 26.08724810312726
Slemani, Iraq	35.5570501 45.4425963
Canyon Lake, Texas, USA	29.8643185 -98.2437802
Ramsau am Dachstein, Styria, Austria	47.4217532 13.6531171
Ipanema, Porto Alegre, Brazil	-30.1390847 -51.2243699
Stalingrad, Russia	48.7081906 44.5153353
Abington, Massachusetts, USA	42.1048228 -70.9453218
Lilongwe, Malawi	-13.9875107 33.768144
California, USA	36.7014631 -118.755997
Paducah, Kentucky, USA	37.0833893 -88.6000478
Orava, Slovakia	49.2641831 19.3771589
Spencer Mountain, North Carolina, USA	35.306903500000004 -81.11239437290715
Wieliszew, Mazowieckie, Poland	52.4497362 20.9694128
Pozarevac, Serbia	44.6199926 21.1854
Americus, Georgia, USA	32.0873878 -83.8131732
Ciudad de la Costa, Canelones, Uruguay	-34.8255833 -55.958956
Rippey, Iowa, USA	41.9338725 -94.2013503
Qobustan, Azerbaijan	40.5326044 48.994167624264996
Edogawa-ku, Tokyo, Japan	35.678278 139.871091
Petronell-Carnuntum, Lower Austria, Austria	48.11096895 16.856701752148087
Manitoulin Island, Ontario, Canada	45.756311499999995 -82.21460502374313
Uithoorn, Noord-Holland, Netherlands	52.24400285 4.828160506359512
Porto Santo, Madeira, Portugal	33.06578005 -16.336237098824252
Nitinat Lake, British Columbia, Canada	48.752485699999994 -124.73543676244627
West Railay Beach, Krabi, Thailand	8.0115856 98.83769496742796
West End, Queensland, Australia	-27.4804327 153.0128302
Mdiq, Morocco	35.69956705 -5.329464288194517
Ajami, Jaffa, Israel	32.0451864 34.7500939
Berkley, Michigan, USA	42.5030909 -83.1835389
Norwich, Norfolk, England	52.628606 1.29227
San Gerardo de Goicoechea, Costa Rica	9.9528757 -84.0496277
Montgomery, Texas, USA	30.301949 -95.5065944
Assens, Fyn, Danmark	55.4243778 10.042567800202072
200 Ash St. Piermont, New York, USA	41.0413171 -73.9153813
Le Mesnil-Amelot, Seine-et-Marne, France	49.0172102 2.5910318
Johnson Mesa, New Mexico, USA	36.9119689 -104.3288721
Thursday Island, Queensland, Australia	-10.578645850000001 142.21892059042744
San Antonio, Florida, USA	28.3361142 -82.2745308
Agropoli, Italy	40.346905 14.996553
Watertown, Minnesota, USA	44.9636573 -93.8469916
Sulukule, Istanbul, Turkey	41.0228712 28.9278977
Sloatsburg, New York, USA	41.1545395 -74.192924
Los Cerrillos, New Mexico, USA	35.4369196 -106.1259178
Lake Peigneur, Louisiana, USA	29.97874385 -91.98421645837504
El Prat de Llobregat, Baix Llobregat, Spain	41.3246333 2.0952568
Dighton, Massachusetts, USA	41.8139905 -71.1203229
Pollock, Louisiana, USA	31.470013299999998 -92.438527393521
Champs-sur-Marne, Seine-et-Marne, France	48.8526892 2.6027219
Yamal, Russia	69.92823734999999 69.71440021993729
Ueno, Tokyo, Japan	35.7118534 139.7775675
The Homewood Surrey, England, UK	51.35002955 -0.3884656301605302
Marylebone London, England, UK	51.5232789 -0.155596
Dunakeszi, Pest, Hungary	47.6316697 19.1294055
Forestburg, Texas, USA	33.5325832 -97.5566091
Camano, Washington, USA	48.153360000000006 -122.47888133766457
Washington County, Maryland, USA	39.5893502 -77.710254
Amarante, Porto, Portugal	41.2699316 -8.0804563
McLean, Virginia, USA	38.9317403 -77.16706245352789
Warren, New Jersey, USA	40.8602222 -74.9720493
Ridgecrest, California, USA	35.6225064 -117.6699414
Bladenboro, USA	34.5386768 -78.7875887
Wellenstein, Luxembourg	49.5248352 6.342525
Monmouth University, New Jersey, USA	40.27941055 -74.00680219986127
Ochoco National Forest, Oregon, USA	44.04173325 -120.37748524985415
Bolgatanga, Ghana	10.7853963 -0.8487322
Auvillar, Tarn-et-Garonne, France	44.0703766 0.899717
Tournes, France	49.7973353 4.637821
Adare Manor, Limerick, Ireland	52.5641694 -8.777624483894847
Springfield Gardens, New York, USA	40.678159 -73.746521
Rodopi Mountains, Bulgaria	41.6 24.5833333
St. Paul's Bay, Malta	35.9480742 14.3973929
Dubai International Airport, Dubai, United Arab Emirates	25.2521281 55.36571154271837
Magdalena, Laguna, Philippines	14.19782375 121.43789222257757
Luther, Oklahoma, USA	35.6596094 -97.1941408
Stains, Seine-Saint-Denis	48.9565669 2.3825154
Hungduan, Ifugao, Philippines	16.8403345 121.0030596
Palos Hills, Illinois, USA	41.6966397 -87.816924
Waverly, Minnesota, USA	45.0666303 -93.9663609
Smith Rock, Oregon, USA	44.3637851 -121.1466426
Omro, Wisconsin, USA	44.0394988 -88.7442754
San Dimas, California, USA	34.085314999999994 -117.84083274516148
B�, Telemark, Norway	59.0177711 9.8752309
Carriacou, Grenada	12.4829985 -61.444843601342065
308 South Avenue Springfield, Missouri, USA	37.144474 -93.293088
Dyreparken, Kristiansand, Norway	58.18495955 8.142603185008625
Charles City, Virginia, USA	37.3434765 -77.0730198
Wolfeboro, New Hampshire, USA	43.58437 -71.207886
Elgin, Texas, USA	30.3495084 -97.371118
Haugesund, Norway	59.46824785 5.082761213563481
Yelagin Palace, St. Petersburg, Russia	59.979316499999996 30.270035662542565
Vienne-en-Arthies, Val d'Oise, France	49.066114 1.7335397
Nidau, Kanton Bern, Switzerland	47.1250287 7.241157
Hubli, Karnataka, India	15.3518378 75.1379848
Winlock, Washington, USA	46.4924025 -122.9388355
Capital Federal, Argentina	-34.6075682 -58.4370894
Oberbayern, Germany	48.240583349999994 11.969915243254572
Ingolstadt, Bavaria, Germany	48.7630165 11.4250395
Vinschgau, South Tyrol, Italy	46.659822399999996 10.67294232071595
Ballyclare, Northern Ireland, UK	54.7525296 -6.0010911
Buttonwillow, California, USA	35.418306 -119.43018293665756
Merlo, San Luis, Argentina	-32.342558 -65.0136903
Greece	38.9953683 21.9877132
Monpazier, Dordogne, France	44.67998 0.89374
Bellwood, Illinois, USA	41.8814197 -87.883117
Intercourse, Pennsylvania, USA	40.0386107 -76.1076485
Zwanenburg, Noord-Holland, Netherlands	52.3778643 4.7437441
Main St. Unionville, Ontario, Canada	43.867558 -79.3120872
Sinhagad,Pune , Maharashtra,India.	18.3651861 73.7549869
Matmata, Tunisia	33.508675100000005 9.978609255727548
18 Rue Paul Bert, Paris, �le-de-France 75011 France	48.852223 2.3849242
Port Blair, Andaman & Nicobar, India	11.6645348 92.7390448
Ashfork, Arizona, USA	35.2254627 -112.4159503
Gangnam-gu, Seoul, South Korea	37.5177 127.0473
Blakehurst, New South Wales, Australia	-33.9898519 151.1085596
Pasalimani, Pireus, Greece	37.9388082 23.6475384
Willimantic, Connecticut, USA	41.713125 -72.217885
Kingston, South Australia, Australia	-36.63941185 140.1394364275323
Akime, Kagoshima, Japan	31.3624833 130.2000035
Lanseria Airport, Johannesburg, South Africa	-25.93444955 27.924736167011847
Bangkok Noi, Bangkok, Thailand	13.7652335 100.47126471601207
Denver School of the Arts, Colorado, USA	39.7480804 -104.9057031
Wilmington, North Carolina, USA	34.2257282 -77.9447107
Clermont, Florida, USA	28.5494447 -81.7728543
Vestnes, Norway	62.56819005 7.11060774159323
Hindman, Kentucky, USA	37.3359313 -82.9804414
Hebei, China	39.0000001 116.0
Vecht, Utrecht, Netherlands	52.2429159 5.0448572
Greencastle, Indiana, USA	39.6444898 -86.8647316
Zion National Park, Utah, USA	37.320774 -113.00484758652519
Houli District, Taichung, Taiwan	24.30491 120.71071
Shippensburg, Pennsylvania, USA	40.0507198 -77.5205485
Tunis, Tunisia	33.8439408 9.400138
48 Dalgas Boulevard, Frederiksberg, Denmark	55.676442 12.508319
NM-14, New Mexico, USA	35.6526367 -105.9959133
507 King Street East, Toronto, Canada	43.654612 -79.35913207099591
Doomadgee, Queensland, Australia	-17.9423545 138.827824
Madison County, Arkansas, USA	35.9728095 -93.7589024
Linselles, Nord, France	50.737818 3.0794271
Poprad, Slovakia	49.0541521 20.2976401
Lynch Road Maude, Victoria, Australia	-37.9244514 144.1915441
Washington County, Indiana, USA	38.5612578 -86.1179768
Trenton, Kentucky, USA	36.7232466 -87.2623516
Inlet, New York, USA	43.754729 -74.793205
Seaville, New Jersey, USA	39.2084479 -74.7040503
Pijnacker, Zuid-Holland, Netherlands	52.0200581 4.434186
Muswellbrook, New South Wales, Australia	-32.2673747 150.8903015
Cook, Minnesota, USA	47.9149076 -90.47301
Surrey Hills, Victoria, Australia	-37.8241183 145.0986212
Magasin du Nord, Copenhagen, Denmark	55.6792033 12.583909818436062
Saint-Paul, R�union	37.5399593 -77.43534846844912
Hranice na Morave, Czech Republic	49.5655532 17.7415994
St. James City, Florida, USA	26.552068 -82.09829397345612
Sinaia, Prahova, Romania	45.3456607 25.5479283
Catanzaro, Calabria, Italy	38.82996034999999 16.43155687627833
Muldestausee, Saxony-Anhalt, Germany	51.6322682 12.4067714
Hum, Croatia	45.348526 14.0503632
Petrovaradin, Vojvodina, Serbia	45.2490082 19.8768737
Maple Heights, Ohio, USA	41.4153313 -81.565956
10021 Zelzah Ave, Northridge California, USA	34.252649591836736 -118.52344226530612
West Mineral, Kansas, USA	37.2842249 -94.9230182
Frederick County, Maryland, USA	39.4608481 -77.4118135
Wittingen, Lower Saxony, Germany	52.7296708 10.7377064
Largo Sao Bento, S�o Paulo, Brazil	-23.5442598 -46.63427
Ternate, Cavite, Philippines	14.286321 120.7160241
Guadalupe Canyon, Arizona, USA	33.3644965 -111.61887
West Windsor Township, New Jersey, USA	40.295093949999995 -74.62587457073727
Wake Island	19.28988935 166.64921739111432
Chittagong Railway Station, Chittagong, Bangladesh	22.334278949999998 91.82846381372264
Cherokee, North Carolina, USA	35.4766377 -83.3189781
Karbala, Iraq	32.6156423 44.0348194
Shimla Highway, India	9.22879035 76.84861582957623
Mohawk Valley, New York, USA	43.076606 -75.21665985048875
Hatfield, England, UK	51.7634675 -0.2258741
Yazoo City, Mississippi, USA	32.8550965 -90.4056469
French Alps, France	45.0757435 5.7735647
Reunion Island, France	-21.130737949999997 55.536480112992315
Novato, California, USA	38.1061979 -122.5681191
Mercado del Puerto, Montevideo, Uruguay	-34.905649499999996 -56.21174217683917
River Eure, France	49.01486995 1.2805284764761118
Galt, California, USA	38.3012325 -121.33103724662058
Bochnia, Malopolskie, Poland	49.974684249999996 20.425329198706468
Hudson River Valley, New York, USA	42.801935 -73.668713
Avinguda del Tibidabo, Barcelona, Spain	41.4143127 2.1340337
Oakley, Kansas, USA	39.126385 -100.855611
Sjundby Castle, Siuntio, Finland	60.14122795 24.26458914316302
Iran	32.6475314 54.5643516
Douglas, Taranaki, New Zealand	-39.3039933 174.4685933
Hotel Blue Ballerina, India	19.1622 72.785
Goubert Avenue, Pondicherry, India	11.9389673 79.8360646
Connecticut, USA	41.6500201 -72.7342163
H.J.E. Wenckebachweg 139 Amsterdam, Noord-Holland, Netherlands	52.3366283 4.9284847
Langen, Hessen, Germany	49.9927036 8.6671682
Parsonsfield, Maine, USA	43.727445 -70.929108
Castille Street, Valletta, Malta	35.8956577 14.5115033
Alma, Quebec, Canada	48.548887 -71.651459
Elbow River Provincial Recreation Area, Alberta, Canada	50.883745649999994 -114.70570012014501
Fox Point, Nova Scotia, Canada	44.611896 -64.0588731
Royal Opera, Stockholm, Sweden	59.3296435 18.0699588
Via Antonio Gramsci, Genoa, Italy	44.2643271 9.4294112
Poros, Greece	37.52692105 23.475245365132018
Sargodha, Pakistan	32.0898005 72.6782574
Braybrook, Victoria, Australia	-37.7867076 144.8548451
Landstejn, Czech Republic	49.0240181 15.2306112
Visoko, Bosnia and Hercegovina	43.9894986 18.1816434
Dungarvan, Co. Waterford	52.08907065 -7.619772900000001
Turckheim, Haut-Rhin, France	48.0878217 7.278011
Lough Derg, Co. Donegal, Ireland	54.6155033 -7.864976061400453
Sintana, Romania	46.3465604 21.5049578
Scott Township, Pennsylvania, USA	40.3916562 -80.0757903
Gordon Dam, Tasmania, Australia	-42.7304704 145.97633185525552
Camp Samac Oshawa, Ontario, Canada	43.9433871 -78.8837757
Kawela Bay, Hawaii, USA	21.7008395 -158.00641727403334
King Island, Alaska, USA	64.97170075 -168.0661139077761
Javier, Navarra, Spain	42.5911918 -1.2086914
Montelupo Fiorentino, Florence, Italy	43.7331531 11.0208768
Marine Corps Base Camp Lejeune, North Carolina, USA	34.63941505 -77.34201604164966
Ontario, Oregon, USA	44.0265525 -116.9629378
Airway Heights, Washington, USA	47.644611 -117.593272
Ambohimanga, Madagascar	-18.7500589 47.5500166
Trebon, Czech Republic	49.0014564 14.780658284346691
Honduras	15.2572432 -86.0755145
Seychelles	-4.6574977 55.4540146
Northamptonshire, England, USA	52.233881 -0.9376306
Zaatari Camp, Jordan	32.2942395 36.3267426
Sunset, Maine, USA	44.2059133 -68.7047491
Zwettl an der Rodl, Upper Austria, Austria	48.4667946 14.2713054
Niederlinxweiler, Saarland, Germany	49.432189 7.1629337
Massiges, Marne, France	49.18703 4.74891
Portsmouth, Ohio, USA	38.7316375 -82.9965441
Weida, Thuringia, Germany	50.7581426 12.0470063
Colwood, British Columbia, Canada	48.4234135 -123.4939645
Minnesota, Minnesota, USA	44.9003894 -92.9033816
Meetjesland, Belgium	51.1844728 4.3613311
Eden, New South Wales, Australia	-37.0640494 149.9035118
Kirchlengern, North Rhine-Westphalia, Germany	52.1983452 8.6440034
Bristol Bay, Alaska, USA	58.7370341 -156.8753867
220 E.42nd ST New York City, New York, USA	40.7501297 -73.9733465
Kenmore, Queensland, Australia	-27.5160106 152.9413421
Moapa, Nevada, USA	36.6821885 -114.5941471
Xiaotangshan, China	40.1743049 116.393762
Teller, Alaska, USA	65.2632484 -166.3640144
Lakeway, Texas, USA	30.3644888 -97.9875325
Finger Lakes, New York, USA	42.5056751 -76.77237863157347
Vitsi,Kastoria, Macedonia, Greece	40.5195019 21.2722148
5945 Pacific Center Boulevard San Diego, California, USA	32.904182 -117.193169
Steingaden, Bavaria, Germany	47.7031648 10.8624962
Wiaz�w, Dolnoslaskie, Poland	50.7788444 16.031929
La Crosse, Wisconsin, USA	43.8014053 -91.2395429
Fort Ord, California, USA	36.609196 -121.75922458558232
Combs-La-Ville, Seine-et-Marne, France	48.6646994 2.564877
Palmetto State Park, Texas, USA	29.60280915 -97.58325713982438
Vikebukt, Norway	62.6154141 7.1485024
Jemez Pueblo, New Mexico, USA	35.606398 -106.73083769182949
Newmanstown, Pennsylvania, USA	40.3509735 -76.21091639466016
Sherburn in Elmet, England, UK	53.7965525 -1.2499345
Wakeeney, Kansas, USA	39.025008 -99.879566
Teatro Nacional D.Maria II, Lisbon, Portugal	38.7147742 -9.139774152611324
Santa Cruz Mountains, California, USA	37.2117409 -122.0582599
Sangar, Iran	29.9995839 52.1493012
Listowel, County Kerry, Ireland	52.4472298 -9.4846811
Kauniainen, Finland	60.2098563 24.7294936
Millbrook, Ontario, Canada	44.1511443 -78.4475977
Broussard, Louisiana, USA	30.1471506 -91.9612413
Kibbutz HaHotrim, Israel	32.75145 34.957043
Sopori Ranch, Arizona, USA	31.7314882 -111.0744266
Moulineaux, Seine-Maritime, France	49.3418677 0.9647213
El Toro, California, USA	37.1205328 -121.6733214
Trentham, Victoria, Australia	-37.3900875 144.3263388
Monas National Monument, Jakarta, Indonesia	-6.1753936 106.82718601871409
Paredes, Porto, Portugal	41.2123637 -8.347580212435714
Surfside, Texas, USA	28.9433033 -95.297715
Manukau, Auckland, New Zealand	-37.086474300000006 174.7288539724189
Mine Hill, New Jersey, USA	40.8778769 -74.5937701
Jurva, Finland	62.6833379 21.9833208
El Pardo, Madrid, Spain	40.5205538 -3.7780738
The Czech Republic	35.1513844 -80.9474119
Boonville, California, USA	39.0091667 -123.3661111
Battiest, Oklahoma, USA	34.3934357 -94.9249499
Europa-Gymnasium, Berlin, Germany	52.510310000000004 13.321739788269658
Abrantes, Portugal	39.4631905 -8.1973618
24, 40121 Bologna, Italy	44.5297451 11.2947588
Ohnsorg-Theater Hamburg, Hamburg, Germany	53.5545023 10.0070813
Wolverhampton, West Midlands, UK	52.5847651 -2.127567
Piney Woods, Mississippi, USA	32.062653 -89.9928597
Canyon, Texas, USA	34.9799429 -101.919197
Brignancourt, Val-d'Oise, France	49.1374741 1.9437009
Bissau, Guinea-Bissau	11.861324 -15.583055
Pearson Farm, Washington, USA	36.095358 -94.3219056
Rue Mill, Montreal, Canada	45.4962884 -73.5528643
Jesi, Marche, Italy	43.5219801 13.2443764
Mustjala, Saaremaa, Estonia	58.4625433 22.2315845
Tivoli Theater, Lisbon, Portugal	38.7204776 -9.14493459112554
Grand Cayman, Cayman Islands	19.3298691 -81.17122907994889
Lake Pukaki, Canterbury, New Zealand	-44.04776085 170.17423114315488
Kakamega Forest, Kenya	0.25608980000000003 34.884134844915906
Potenza, Basilicata, Italy	40.5183188 15.82095999021995
Broom County, New York, USA	43.180017 -76.291212
Rothbury, Michigan, USA	43.507232 -86.347572
Rural Valley, Pennsylvania, USA	40.7992313 -79.3144845
Santago, Colima, Mexico	20.6442539 -100.4480069
Lauderdale-by-the-Sea, Florida, USA	26.192028 -80.0964326
Betuwe, Gelderland, Netherlands	51.92150995 5.616123265710504
Bale Mountains, Ethiopia	6.8145735 39.720531
Hunterdon County, New Jersey, USA	40.5770634 -74.9261552
Daejeon World Cup Stadium, Daejeon, South Korea	36.36525335 127.32510742291791
Bad Steben, Bavaria, Germany	50.3662581 11.6437189
Eastvale, California, USA	33.9747067 -117.566541
Jardim Passos Manuel, Porto, Portugal	41.147140300000004 -8.605192193352467
Altenau, Germany	51.8034705 10.4472774
Shibamata, Tokyo, Japan	35.7564295 139.8751807
Blanchard, Idaho, USA	48.0168468 -116.9838096
Cap Gris Nez, Pas-de-Calais, France	50.8696997 1.584847
Lille Farimagsgade, Copenhagen, Denmark	55.6907588 12.5765795
Kizhi Island, Republic of Karelia, Russia	62.08482805 35.211707659202176
Cerveny Castle, Pezinok, Slovakia	48.39157005 17.335191431829102
Remseck, Germany	48.8749515 9.2649047
621 NW 6th St Grand Prairie, TX, USA	32.74847603489267 -97.010537
Sprimont, Belgium	50.5065636 5.646657076291905
Bloomfield, Nebraska, USA	42.5988909 -97.6456195
Redmond, Washington, USA	47.6694141 -122.1238767
Berhampore, Wellington, New Zealand	-41.3232643 174.7740897
Lerbo, Sweden	58.9793895 16.4250457
Kaung Myat Restaurant, Yangon, Myanmar	16.806922 96.1755768
Amassine, Morocco	30.6260776 -7.4549544
Pike Creek, Delaware, USA	39.7309451 -75.7040991
Canungra, Queensland, Australia	-28.0171019 153.165254
Cine Lido, New York City, USA	40.8097044 -73.9518063
Nombre de Dios, Durango, Mexico	23.841220399999997 -104.2203812188504
Argyll & Bute, Scotland, UK	56.4603494 -5.8618419478791015
Faulconbridge, New South Wales, Australia	-33.7005603 150.535599
Old City, Jerusalem, Israel	31.7782872 35.2319526
Vanha Domus, Tampere, Finland	61.4973243 23.804716250000006
Kapasia, Gazipur, Bangladesh	24.0397759 90.6444252
Warkworth, New Zealand	-36.3984914 174.6642316
Izalco Volcano, Sonsonate, El Salvador	13.8139316 -89.632503
Papunya, Northern Territory, Australia	-23.2049554 131.9122492
Bridgton, Maine, USA	44.055025 -70.713501
Sporthalle Hamburg, Germany	53.60272475 10.002062235896307
Slot Canyons, Utah, USA	37.76762775 -111.68124490615152
Crescent Lake, Washington, USA	47.8052578 -120.95457214060617
Backbone Rock Recreation Area, Tennessee, USA	36.5945607 -81.8142857
Pinnacles Desert, Western Australia	-30.6019617 115.1574309
Guimaraes, Portugal	41.4417677 -8.2955712
Vail, Arizona, USA	32.0100705 -110.69752810628196
Ostenholz, Lower Saxony, Germany	52.7741075 9.7223359
Avenida George Washington, Santo Domingo, Dominican Republic	18.4528155 -69.9211854
UGT Madrid, Madrid, Spain	40.43934885 -3.6747744602929027
Lavrica, Skofljica, Slovenia	46.0014436 14.5546947
Lausanne, Switzerland	46.5218269 6.6327025
Roehampton, England, UK	51.4498773 -0.2412672
Champlain College, Montreal, Canada	45.5054789 -73.6643763
L'Anse Aux Meadows, Newfoundland, Canada	51.601655 -55.532409034614524
Nova Ves, Czech Republic	49.1081117 16.3108395
Singapore, Singapore	1.357107 103.8194992
Picton, Marlborough, New Zealand	-41.290916 174.006908
Templo de Debod, Madrid, Spain	40.4240372 -3.717725216448639
Wadi Rum, Jordan	29.5084443 35.3362154
Central Theater, Budapest, Hungary	47.5018229 19.0570968
Wiesenburg, Brandenburg, Germany	52.1106374 12.462536214674916
Malo-les-Bains, Nord, France	51.0466792 2.3984694
Rossville, Georgia, USA	34.983376 -85.28603
Georgioupolis, Crete, Greece	35.3619218 24.2613774
Santa Fe, Mexico	35.6876096 -105.9384569
St. Margareten im Rosental, Carinthia, Austria	46.5412748 14.4184613
Amathus Beach Hotel, Limassol, Cyprus	34.709194 33.13289350833333
Erie Pennsylvania, USA	42.1294712 -80.0852695
Churu, India	28.2061443 74.69190729963461
Tutwiler, Mississippi, USA	34.011859 -90.43122055360215
Glenwood Springs, Colorado, USA	39.5507448 -107.3255001
Rezanci, Croatia	45.0454464 13.908089
Hohewardstr., 45699 Herten, Germany	51.5802937 7.1580435
Kennebunk, Maine, USA	43.384092 -70.545273
Haro, La Rioja, Spain	42.5768922 -2.8466768
Dabrowa Niemodlinska, Opolskie, Poland	50.6832835 17.7491984
Leyte, Philippines	10.783816300000002 124.89239808408178
Kilkee, County Clare, Ireland	52.679167 -9.644167
Bloomsburg, Pennsylvania, USA	41.0044958 -76.4537302
Ru de la Gar	61.26374745 46.67675531388958
Ballyferriter, County Kerry, Ireland	52.1663478 -10.406082
Caxias, Portugal	38.70668015 -9.273812066564576
Utti, Kouvola, Finland	60.8849815 26.9229413
JFK Airport	40.642947899999996 -73.7793733748521
Sankuyo, North-West District, Botswana	-19.428159 23.873929
Panama City Beach, Florida, USA	30.1765914 -85.805386
Kjurrudalen, Os, Norway	62.6384249 11.126232
Lachen SZ, Kanton Schwyz, Switzerland	47.1901523 8.8530338
Metairie, Louisiana, USA	30.00185465 -90.1767012249077
Carthage, Indiana, USA	39.7383781 -85.5719189
Phillip Island Raceway, Victoria	-38.5052194 145.2307398
Phum Slaeng, Cambodia	11.5549834 104.8742457
Sinma, Burma	19.8186225 96.1497189
Ohnsorg-Theater, Hamburg, Germany	53.5545023 10.0070813
Hadassah Mount Scopus, Jerusalem, Israel	31.797746 35.2396107
Guntersville, Alabama, USA	34.3581474 -86.2947041
San Rafael, New Mexico, USA	35.49199 -104.4563719
Kettering, Ohio, USA	39.6895036 -84.1688274
Cawker City, Kansas, USA	39.51251 -98.433672
Tom Bean, Texas, USA	33.5201081 -96.4838749
North East, Maryland, USA	39.5992989 -75.9424217
Niederkassel, North Rhine-Westphalia, Germany	50.8137102 7.0351942
Drochia, Moldova	48.1128441 27.8095419
Sielpia Wielka, Swietokrzyskie, Poland	51.113506 20.34713
Matosinhos, Norte, Portugal	41.185718699999995 -8.701844169916424
Vivaldisingel, Nieuw-Vennep, Netherlands	52.2682552 4.6112595
French Creek State Park, Pennsylvania, USA	40.21957415 -75.74606136319967
Umiam, Meghalaya, India	25.5118571 91.7692625
Timbavati, 1380, South Africa	-23.9356651 29.4505024
Kunming, China	24.8843019 102.8324209
Sligo, Ireland	54.2720696 -8.4751357
Catahoula, Louisiana, USA	30.2146431 -91.7090023
Wagalla, Kenya	1.7836517 39.9391443
Main St. Kelseyville, California, USA	38.9768128 -122.8338403
Stratford, Iowa, USA	42.2713655 -93.9271721
Arlington Heights, Illinois, USA	42.0811563 -87.9802164
1976 Morris Avenue Union, New Jersey, USA	40.696193 -74.269237
Ostsee, Poland	54.3879829 18.62334585
Giurgiu County, Romania	43.886406 25.963587
Patterson, New Jersey, USA	40.504268 -74.272559
Lower East Side, New York, USA	40.7159357 -73.9868057
San Jacinto, California, USA	33.7839664 -116.9589086
Ronan, Montana, USA	47.5288233 -114.101501
Izucar de Matamoros, Mexico	18.50658165 -98.423077788842
Maasin, Iloilo, Philippines	10.8908217 122.4332818
Balice, Malopolskie, Poland	50.08683 19.792135
Monaco Heliport, Fontvieille, Monaco	43.72592285 7.419718097320814
Perry County, Missouri, USA	37.7107349 -89.8430248
Magnolia, New Jersey, USA	39.8545581 -75.0390591
Draguignan, Var, France	43.5374662 6.4627333
Glass House Mountains, Queensland, Australia	-26.8980766 152.9571204
Hesperus, Colorado, USA	37.2861114 -108.0395165
Sokolovici, Bosnia-Herzegovina	43.64064 19.33889
White Earth Indian Reservation, Minnesota, USA	47.23099085 -95.74556703700563
Kvinesdal, Norway	58.51813075 6.9539610197038755
Gelugor, Penang, Malaysia	5.3574472 100.3035237440283
Hoppers Crossing, Victoria, Australia	-37.8836315 144.7001682
Ben Gurion Airport, Israel	32.0004041 34.8704796
Stonnington, Victoria, Australia	-37.861363 145.03911395392606
Athens, Georgia, USA	33.9597677 -83.376398
Halda River, Chittagong, Bangladesh	22.467845 91.8737751
Pine Mountain Club, California, USA	34.8447503 -119.15781322893069
Mima Mounds Natural Area Preserve, Washington, USA	46.8999442 -123.04341320372754
Elgersburg, Thuringia, Germany	50.7042992 10.8514261
South Berwick, Maine	43.2344819 -70.8089397
Bakhuizen, Friesland, Netherlands	52.8677087 5.4583305
Cokeville, Wyoming, USA	42.0848242 -110.9566093
Skudehavnsvej, Copenhagen, Denmark	55.7167272 12.5966274
Kisko, Finland	60.2647218 23.447063
Armagh City, Northern Ireland, UK	54.3481977 -6.6540432
Frederiksoord, Drenthe, Netherlands	52.8424196 6.1836237
Atlanta, Georgia	33.7489924 -84.3902644
Yarrabah, Queensland, Australia	-17.017281500000003 145.87464891931225
Bauru, S�o Paulo, Brazil	-22.3218102 -49.0705863
Sale, Morocco	34.044889 -6.814017
Ga'ash, Israel	32.2288879 34.8234798
Pioneer Museum - Troy, Alabama, USA	31.8246003 -85.9963407
Estlin, Saskatchewan, Canada	50.2540322 -104.5299664
Des Moines, Iowa, USA	41.5910323 -93.6046655
Kwajalein Island, Marshall Islands	8.7306189 167.73928221221212
Terres d'Amanar, Tahannaout, Morocco	31.3099936 -7.9415099
Cabello 3791, 1425 CABA, Argentina	-34.579988412244894 -58.412781700000004
Brockton, Massachusetts, USA	42.0834335 -71.0183787
Grasse, Alpes-Maritimes, France	43.6589011 6.9239103
Beverly Hill, California, USA	37.958105 -122.0615512
Koningin Astridpark, Bruges, Belgium	51.206384650000004 3.2311276712332724
Hegyeshalom, Hungary	47.9144882 17.1558011
National City, California, USA	32.6781085 -117.0991967
Haslett, Michigan, USA	42.750447449999996 -84.40269357726785
Pajottenland, Flemish Brabant, Belgium	50.7863024 4.1050657
Cherryville, North Carolina, USA	35.3787442 -81.3789739
Lethbridge, Alberta, Canada	49.694285 -112.851562
Zlocieniec, Zachodniopomorskie, Poland	53.5310697 16.0120665
Quelccaya glacier, Peru	-13.925278299999999 -70.82043023281032
Bednarecek, Czech Republic	49.210076 15.1439321
West Coast, New Zealand	-42.5638896 171.45233400435404
Casalpusterlengo, Lombardy, Italy	45.1793292 9.6483958
Bandarban, Bangladesh	21.787476 92.4073253305765
Jonava, Lithuania	55.0737086 24.2756961
Ciampino, Lazio, Italy	41.8002891 12.6004706
Maghbazar, Dhaka, Bangladesh	23.750960499999998 90.40491316430582
Orange County, Florida, USA	28.495156 -81.3111658
Point San Luis Lighthouse - Avila Beach, California, USA	35.1603451 -120.7608525
